#root,dhatu,gana,meanings
gux1,guxaz,BvAxiH,krIdAyAmeva
guX1,guXaz,kryAxiH,roRe
#gup1,gupUz,BvAxiH,rakRaNe
gup2,gupaz,BvAxiH,gopane
gup3,gupaz,xivAxiH,vyAkulawve
gup4,gupaz,curAxiH,BARArWaH
guP1,guPaz,wuxAxiH,granWe
gumP1,gumPaz,wuxAxiH,granWe
gur1,gurIz,wuxAxiH,uxyamane
gurx1,gurxaz,BvAxiH,krIdAyAmeva
gurx2,gurxaz,curAxiH,pUrva nikewane
gurv1,gurvIz,BvAxiH,uxyamane
guh1,guhUz,BvAxiH,saMvaraNe
#gUr1,gUrIz,xivAxiH,hiMsAgawyoH
gUr2,gUraz,curAxiH,uxyamane
gq1,gq,BvAxiH,secane
gqj1,gqjaz,BvAxiH,SabxArWaH
gqFj1,gqjiz,BvAxiH,garjane
gqX1,gqXuz,xivAxiH,aBikAMkRAyAm
gqha1,gqha,curAxiH,grahaNe
gqh1,gqhUz,BvAxiH,grahaNe
gQ1,gQ,wuxAxiH,nigaraNe
gQ2,gQ,kryAxiH,Sabxe
#gQ3,gQ,curAxiH,vijFAne
gep1,gepqz,BvAxiH,kampane
gev1,gevqz,BvAxiH,sevane
geR1,geRqz,BvAxiH,anvicCAyAm
#gE1,gE,BvAxiH,Sabxe
goma1,goma,curAxiH,upalepane
goRt1,goRtaz,BvAxiH,saMGAwe
granW1,graWiz,BvAxiH,kOtilye
granW2,granWaz,kryAxiH,sanxarBe
granW3,granWaz,curAxiH,sanxarBe
gras1,grasuz,BvAxiH,axane
gras2,grasaz,curAxiH,grahaNe
grah1,grahaz,kryAxiH,upAxAne
grAma1,grAma,curAxiH,AmanwraNe
#gru1,gruf,BvAxiH,MISSING
gruc1,grucuz,BvAxiH,sweyakaraNe
glas1,glasuz,BvAxiH,axane
glah1,glahaz,BvAxiH,grahaNe
gluc1,glucuz,BvAxiH,sweyakaraNe
gluFc1,gluFcuz,BvAxiH,gawO
glep1,glepqz,BvAxiH,xEnye
glev1,glevqz,BvAxiH,sevane
gleR1,gleRqz,BvAxiH,anvicCAyAm
glE1,glE,BvAxiH,harRakRaye
#gl1,glA,BvAxiH,MISSING
GaG1,GaGaz,BvAxiH,hasane
